User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
edavis4,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,19,0,,,,
ekeerava,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,6,3,0,,,,
ekrych,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,8,6,0,,,,
elagrew,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,5,0,,,,
elu,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,16,9,0,,,,
eriley10,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,6,7,0,,,,
etagga1,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,6,3,0,,,,
fally,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,6,3,0,,,,
fbrocki1,2018-06-23T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,14,6,1,,,,
fchico,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,6,4,0,,,,
fmcgowa,2018-06-15T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,12,3,0,,,,
fnash2,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,8,3,0,,,,
fproulx,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,12,3,0,,,,
fsolomo1,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,15,10,0,,,,
fstribli,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,1,0,,,,
ftaylor,2018-06-25T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,12,14,1,,,,
fturne1,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,6,1,0,,,,
fwilso5,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,5,3,0,,,,
gadams22,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,9,0,0,,,,
gande10,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,9,20,0,,,,
gericks,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,7,9,0,,,,
gfranc3,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,5,16,0,,,,
gfranc3,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,5,16,0,,,,
gfranc3,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,35,16,0,,,,
ggarci41,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,7,0,0,,,,
ggunti,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,10,2,0,,,,
gguzman8,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,5,11,0,,,,
gguzman8,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,10,11,0,,,,
gkessel,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,5,7,0,,,,
gkoska1,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,6,0,,,,
gmaketa,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
gpetters,2018-06-28T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,27,14,1,,,,
gpittma2,2018-06-15T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,5,3,0,,,,
gpittma2,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,5,3,0,,,,
gpittma2,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,3,0,,,,
gs1000,2018-06-01T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,133,0,4,,,,
gs1000,2018-06-09T00:00:00.000-05:00,2018-06-09T00:00:00.000-05:00,25,0,0,,,,
gs1000,2018-06-10T00:00:00.000-05:00,2018-06-10T00:00:00.000-05:00,20,0,0,,,,
gsuson,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,8,11,0,,,,
gsuson,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,12,11,0,,,,
gsuson,2018-06-26T00:00:00.000-05:00,2018-06-30T00:00:00.000-05:00,300,55,4,,,,
gwiddis,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,10,0,0,,,,
hbrazle,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,9,3,0,,,,
hcarrell,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,16,2,0,,,,
hhopkin5,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,12,3,0,,,,
hkohli10,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,10,10,0,,,,
hlukas,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,5,6,0,,,,
hmai1,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,5,6,0,,,,
hpaladug,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,8,3,0,,,,
ibukingo,2018-06-01T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,42,0,3,,,,
ibukingo,2018-06-09T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,117,0,10,,,,
imohamm4,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,11,32,0,,,,
jbuenav1,2018-06-27T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,64,9,2,,,,
jcarr1,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,10,1,0,,,,
jclagget,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,6,1,0,,,,
jclagget,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,8,1,0,,,,
jcobine,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,13,44,0,,,,
jconne1,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,8,3,0,,,,
jconst5,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,33,4,0,,,,
jcurti,2018-06-29T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,5,14,0,,,,
jdavi165,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,9,7,0,,,,
jdeleo15,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,8,11,0,,,,
jdubar,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,6,0,0,,,,
jdubar,2018-06-14T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,16,0,1,,,,
jdubar,2018-06-25T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,16,0,1,,,,
jdubar,2018-06-29T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,6,0,0,,,,
jduran13,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,9,7,0,,,,
jfitzg15,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,6,13,0,,,,
jflynn1,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,39,20,0,,,,
jgaume1,2018-06-24T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,8,3,0,,,,
jgonza92,2018-06-17T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,24,12,1,,,,
jharlson,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,10,1,0,,,,
jheron,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,7,0,,,,
jhirlsto,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,12,7,0,,,,
jhysi,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,14,0,0,,,,
jjuds1,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,10,0,,,,
jkersse,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,12,16,0,,,,
jkersse,2018-06-04T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,24,32,1,,,,
jkersse,2018-06-18T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,42,32,1,,,,
jkersse,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,12,16,0,,,,
jkersse,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,12,16,0,,,,
jkieser,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,8,3,0,,,,
jkotlin,2018-06-01T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,86,5,4,,,,
jkotlin,2018-06-08T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,63,4,3,,,,
jlawr10,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,6,3,0,,,,
jmaddo4,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,32,3,0,,,,
jmarti55,2018-06-17T00:00:00.000-05:00,2018-06-17T00:00:00.000-05:00,5,0,0,,,,
jnavarr6,2018-06-25T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,30,14,1,,,,
jnorri3,2018-06-26T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,24,18,1,,,,
jrice20,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,5,3,0,,,,
jrice20,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,10,3,0,,,,
jrummen,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,5,6,0,,,,
jscialab,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,9,6,0,,,,
jsebas10,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,15,10,0,,,,
jseppel,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,14,2,0,,,,
jseppel,2018-06-14T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,14,4,1,,,,
jseppel,2018-06-17T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,21,12,1,,,,
jseppel,2018-06-21T00:00:00.000-05:00,2018-06-23T00:00:00.000-05:00,42,18,2,,,,
jseppel,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,7,6,0,,,,
jseppel,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,7,6,0,,,,
jsistare,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,6,11,0,,,,
